1,T-Series,"14,352",132M,"102,498,569,684"
2,Like Nastya,386,49.6M,"27,955,259,044"
3,RRcherrypie,213,3.37M,"344,968,389"
4,SET India,"36,458",67M,"50,037,415,093"
5,Zee TV,"99,469",41.8M,"40,887,252,429"
6,Cocomelon - Nursery Rhymes,509,75.4M,"53,688,638,597"
7,Yavuz Selim,"3,181",2.56M,"968,979,064"
8,✿ Kids Diana Show,678,48.5M,"21,774,921,131"
9,Movieclips,"35,089",34.7M,"33,514,376,742"
10,SAB TV,"23,445",28.4M,"24,469,275,073"
11,Vlad and Nikita,210,35.7M,"16,711,043,307"
12,Al Jazeera Arabic قناة الج�…,"117,331",5.42M,"2,207,518,687"
13,shfa,491,17.6M,"7,170,458,786"
14,DisneyMusicBRVEVO,78,76.8K,"455,725,365"
15,shfa2 - شفا,415,16.6M,"6,542,420,009"
16,Little Baby Bum - Nursery Rhymes &…,"1,140",25.5M,"23,179,590,823"
17,netd müzik,"12,178",16.5M,"34,404,238,427"
18,Ryan's World,"1,667",24.3M,"37,116,456,538"
19,Sesame Street,"2,952",14.2M,"11,666,885,029"
20,Bad Bunny,58,22.8M,"6,798,576,344"
21,Wave Music,"17,755",32.4M,"21,918,243,173"
22,VGK,19,1.03M,"292,509,581"
23,one31,"84,611",21.6M,"16,908,943,716"
24,Super Simple Songs - Kids Songs,496,21.2M,"18,708,931,350"
25,Long & Junior,75,257K,"282,710,054"
26,For Kids Español,59,1.64M,"271,445,476"
27,BeautyPlus,153,1.11M,"242,654,971"
28,Peppa Pig - Official Channel,821,14.2M,"8,692,608,702"
29,Ch3Thailand,"69,193",21.7M,"16,234,461,507"
30,Pac Pac Gaming,13,3.93M,"1,026,850,856"
31,ABS-CBN Entertainment,"140,342",25.6M,"34,424,665,188"
32,Animal World,318,2.57M,"721,166,331"
33,턱형 (GOD-TUK),481,1.39M,"408,319,122"
34,El Reino Infantil,825,31.1M,"27,938,378,399"
35,Zee Music Company,"4,659",51.6M,"24,321,529,798"
36,Boo's Family,"422,277,432",1.94M,N/A
37,BabyBus - Nursery Rhymes,"1,360",13.9M,"8,413,119,128"
38,WWE,"46,516",55.7M,"40,133,277,392"
39,LooLoo Kids - Nursery Rhymes and C…,450,25.3M,"10,708,978,169"
40,VladTeeVee,368,2.11M,"336,325,353"
41,SaSa Family Vlog,11,1.28M,"26,812"
42,Big Hit Labels,363,34M,"8,523,774,540"
43,Toys and Colors,400,19.1M,"13,652,794,947"
44,Aaj Tak,"100,744",28M,"8,363,268,821"
45,Shemaroo Filmi Gaane,"6,719",33.3M,"16,012,217,816"
46,TVI,"16,891",1.59M,"776,354,474"
47,Little Angel: Nursery Rhymes & Kid…,947,11.7M,"6,381,418,714"
48,LUCCAS NETO - LUCCAS TOON,903,29.1M,"9,862,349,465"
49,موقع الشيخ عبد الب�…,787,2.24M,"307,661,604"
50,Nick Jr.,"3,257",12M,"9,838,740,449"
